id,Presidenta Municipal 
,Jefa de Oficina de la Presidencia
,Recepción
,SECRETARÍA PARTICULAR DE PRESIDENCIA 
,Secretaría Particular de Presidencia 
,Secretaria  Adjunta
,Atención Ciudadana 
,Coordinadora Administrativa 
,Coordinación de  Relaciones Interinstitucionales
,SECRETARÍA DE INNOVACIÓN GUBERNAMENTAL 
,Secretaría de Innovación Gubernamental 
,Recepción
,Coordinador  (A)
,COORDINACIÓN TÉCNICA 
,Coordinación Técnica 
,Enlace
,Recepción 
,COORDINACIÓN UIPPE 
,"Coordinación de Información, Planeación, Programación y Evaluación (UIPPE)"
,Enlace de Coordinación  
,Recepción
,Titular  de la Unidad de Transparencia
,Unidad de Transparencia
,Recepción
,Módulo de Información 
,Oficina Municipal de Enlaces con la Secretaria de Relaciones Exteriores  de Ecatepec de Morelos 
,COORDINACIÓN PARA EL RESCATE DE LA DIGNIDAD DE LAS PERSONAS DE LA IDENTIDAD MUNICIPAL Y TEJIDO SOCIAL 
,Coordinación para el Rescate de la Dignidad de las Personas de la Identidad Municipal y Tejido Social 
,Sistema de Cuidados Tonalli Ecatepec
,Subcoordinación de Enlaces y Transversalidad
,Subcoordinación de Seguimiento y Evaluación
,SECRETARÍA DEL AYUNTAMIENTO
,Secretaría del Ayuntamiento
,Recepción 
,Particular de la Secretaría de Ayuntamiento 
,Jurídico Consultivo                                                                                                                                                         
,Coordinación Administrativa
,Coordinación Administrativa
,Sistema Municipal de Información  
,Departamento de  Asuntos Edilicios 
,"Departamento de Certificaciones, Permisos, Eventos Constancias Domiciliarias y de Identidad  "
,Recepción
,Coordinación de Archivo  ( Archivo Municipal )
,Departamento de Patrimonio Municipal 
,Bienes Muebles de Patrimonio Municipal
,Recepción 
,Constancias de no Propiedad
,Subdirección Política Social 
,Oficialía de partes
,Atención Ciudadana 
,Junta de Reclutamiento 
,Departamento de Receptoría  Juvenil 
,Subdirección de Justicia Cívica 
,Subdirección de los Jueces Cívicos
,Recepción
,Auxiliar
,Auxiliar
,Auxiliar
,Oficialía Conciliadora y Calificadora las Américas 
,Oficialía Conciliadora y Calificadora Granjas Valle de Guadalupe                                                                                                                                               
,Oficialía Conciliadora y Calificadora Tulpetlac
,Coordinación de Registros Civiles
,Registro Civil.  1
,Registro Civil.  2
,Registro Civil.  3
,Registro Civil.  8
,Registro Civil.  9
,Registro Civil.  10
,Registro Civil.  12   
,Registro Civil.  13
,Regional
,TESORERÍA MUNICIPAL
,Tesorero Municipal
,Recepción
,Recepción
,Coordinación Administrativa de la Tesorería
,Recepción 
,Oficialía de Partes de la Tesorería                   
,Subdirección de  Ingresos                              
,Recepción                         ( Se puede Pasar lo de Predio )
,Departamento de Ejecución Fiscal    
,Recepción  1
,Traslado de Dominio  (Encargado)
,Recepción 
,Control de Cajas 
,Recepción 
,Cajas Ventanilla
,Subdirección de Catastro
,Recepción 
,Subdirección de Presupuesto   
,Subdirección de Programas Federales 
,Subdirección de Evaluación y Seguimiento Financiero
,Subdirección Jurídico de Tesorería
,Encargada de la Subdirección de Egresos
,Recepción  1
,Recepción  2
,Departamento de Cheques                       
,Cuenta Pública
,Contabilidad   
,Encargado de Predio
,Recepción   ( Predio )
,Subdirección de Tecnologías de la Información y de la Comunicación
,Recepción
,Departamento de Seguridad de la Información
,Recepción 
,Departamento de Infraestructura y Soporte Técnico
,Departamento de Infraestructura y Soporte Técnico
,Departamento de Desarrollo de Plataformas 
,Departamento de Programación y Planeación Estratégica de Tics
,Departamento de Call Center 
,
,
,
,CONTRALORÍA INTERNA MUNICIPAL
,Contralor Interno Municipal 
,Recepción
,Coordinación Administrativa
,Recepción
,Subcontralor de Responsabilidades
,Jefa de Departamento de la Autoridad  Investigadora    
,Coordinación  de Plataforma Digital                                                                                                                                                                                                                                                                 Notificación 
,Subcontraloria de Auditoria 
,"Departamento de Auditoria administrativa, Anticorrupción y Control y Evaluación "
,Departamento de Auditoria a Obra Pública y Financiera 
,Subcontralor de Cumplimiento y Obligaciones
, 
,Departamento de Autoridad Resolutoria 
,"Departamento de Manifestación de Bienes, Situación Patrimonial y Entrega a Recepción "
,"Departamento de Control Patrimonial, Comités, Contraloría Social y Cocicovis "
,DIRECCIÓN DE ADMINISTRACIÓN 
,Dirección 
,Recepción
,Oficialía de  Administración
,Subdirección General 
,Coordinación Administrativa 
,Subdirección de Recursos Humanos 
,Recepción
,Adquisiciones y Licitaciones
,Departamento de Nomina 
,Departamento de Control de Asistencia
,Subdirección De Servicios Generales y Mantenimiento 
,Recepción
,Asistente de Servicios Generales
,Departamento de Mantenimiento  e Intendencia 
,Departamento de Control de Bienes y Muebles 
,Departamento Manteamiento
,Departamento de Giras y Eventos 
,
,
,Subdirección de Adquisiciones y Licitaciones 
,Departamento de Adquisiciones y Licitaciones 
,Subdirección de Control Vehicular y Combustible 
,Departamento de Control de Parque Vehicular y Atención  de Siniestros y Estadísticas 
,Departamento de Control y Suministro de Combustibles 
,Templetes
,Bodega Jardines de Morelos
,DIRECCIÓN DE BIENESTAR 
,Dirección
,Subdirección General                                                                                                                                                                                                                                                                                                                                           
,"Subdirección General Curt,CDC                                                                                                                                                                                                                                                                                                                                        "
,Coordinación de Programas Sociales
